product_name,price,manufacture_date,entry_date,expiry_date,stock,type,imgList,species,weight,nutrition_description
ZOI CAT SEED FOOD FOR CATS 1KG BAG,58000,2024-08-05,2024-10-08,2026-01-17,108,food,"['https://salt.tikicdn.com/ts/product/e3/2f/31/28c2240411d280255eac5e0ed2b27f36.jpg', 'https://salt.tikicdn.com/ts/product/70/e6/94/ea6bdb972d709438d0cc6489677639d4.jpg', 'https://salt.tikicdn.com/ts/product/13/f5/88/354bfec915eb7c3d9b80d7cd161523e4.jpg']",rabbit,2.5,"ZOICAT - Thức Ăn Hạt Khô Dành Cho Mèo Trưởng Thành Xuất sứ: Thái Lan. ĐẶC ĐIỂM: - Công thức natri thấp giảm nguy cơ mắc bệnh huyết áp, tim mạch, thận. - Bảo vệ răng và nướu nhờ giảm nguy cơ gây nên tì..."
Red millet seeds are rich in nutrients and can be used as food for birds and parrots,17999,2023-01-06,2024-01-17,2028-08-08,146,food,['https://salt.tikicdn.com/ts/product/c6/34/af/8a0fcc81f4f8aae8f4b0a97da2f2699b.png'],cate,0.5,"hạt kê bóng đỏ nhiều chất dinh dưỡng làm thức ăn cho chim, vẹt..."
Yellow millet (yellow ball) is used as nutritious food for birds and parrots,15999,2022-04-05,2024-10-02,2026-01-29,108,food,['https://salt.tikicdn.com/ts/product/8e/d1/f1/275f6b74ba66379ee461f92745401526.png'],dog,1.0,"kê vàng (bóng vàng ) dùng làm thức ăn đầy đủ dinh dưỡng cho chim , vẹt..."
Large red millet seeds (red balls) are used as nutritious food for birds and parrots,19999,2023-04-06,2025-03-28,2028-03-24,146,food,['https://salt.tikicdn.com/ts/product/15/8a/b7/61b84922795eeabf7fbbb12ebafb4e68.png'],dog,7.5,"kê đỏ to dùng làm thức ăn đầy đủ dinh dưỡng cho chim , vẹt..."
Barley seeds are used as nutritious food for birds and parrots,17999,2022-12-02,2024-10-11,2028-11-17,173,food,['https://salt.tikicdn.com/ts/product/cb/e3/aa/c4dfba84d140853f2c5f74e270f1cf5a.jpg'],bird,0.5,"đại mạch dùng làm thức ăn đầy đủ dinh dưỡng cho chim , vẹt..."
"mixed seeds with fruit seeds for Sun, Xich, Lory, Monk, caique, RingNeck parrots",44999,2022-04-21,2024-07-03,2027-12-04,156,food,['https://salt.tikicdn.com/ts/product/fa/67/6b/52002827203092d77b8f6225ff066962.jpg'],bird,5.0,"hạt trộn kèm hạt trái cây dành cho vẹt Sun, Xích, Lory, Monk, caique, RingNeck..."
"Millet seeds are mixed with many nutrients for small birds, parrots, and budgies",19999,2023-02-26,2024-08-16,2027-06-06,184,food,['https://salt.tikicdn.com/ts/product/51/d1/c8/9940b708123e3a1d2f625f0b7c7f384e.jpg'],bird,7.0,"Hạt kê trộn nhiều chất dinh dưỡng cho chim nhỏ, vẹt, yến phụng..."
100g - DRIED CHICKEN - DRIED MEAT - CHEAP AND DELICIOUS MEATBALLS SNACKS FOR CATS AND DOGS,48000,2023-12-09,2024-01-21,2026-10-08,129,food,['https://salt.tikicdn.com/ts/product/c6/01/7e/2b1f4776f70753d9431817a859737dee.jpg'],cate,6.5,"THÔNG TIN SẢN PHẨM: ỨC GÀ SẤY, ỨC GÀ - Ức gà cung cấp rất nhiều protein giúp tăng cường sự phát triển ở thú cưng. - Ức gà chứa rất nhiều Vitamin và khoáng chất giúp tăng cường hệ miễn dịch. - Giữ nguy..."
Whiskas Adult 1+ Years Cat Food Tuna Flavor 480g/Bag,50000,2023-03-24,2025-04-10,2026-08-23,118,food,"['https://salt.tikicdn.com/ts/product/d7/75/37/7209c96679026773381ca40a607e465c.png', 'https://salt.tikicdn.com/ts/product/8d/e2/22/f837f049eb47de8d40f76a68982e67c1.jpg', 'https://salt.tikicdn.com/ts/product/3e/5f/3f/86f2b549ae4408379b2be37009beae16.jpg']",dog,2.0,"WHISKAS Thức ăn dạng hạt cho mèo trưởng thành từ 1 tuổi• Dinh dưỡng toàn diện và cân bằng: Chăm sóc sức khỏe của mèo cưng với thức ăn cho mèo WHISKAS, cung cấp dinh dưỡng cân bằng và toàn diện 100% đ..."
Whiskas Junior 2-12 Months Mackerel Flavor Kitten Food Mackerel Flavor 1.1kg/Bag,130000,2023-12-17,2024-06-17,2027-04-10,81,food,"['https://salt.tikicdn.com/ts/product/80/c1/7c/1c3cf2eb577f2282476d08abf4949469.png', 'https://salt.tikicdn.com/ts/product/d1/ef/71/679785641a24837acdff4b63ce96e756.jpg', 'https://salt.tikicdn.com/ts/product/16/04/95/bd4d1a842f2e7daa25c4fbacebde69fc.jpg']",cate,10.0,WHISKAS Thức ăn dạng hạt cho mèo con từ 2-12 tháng tuổi• Công thức dinh dưỡng cân bằng: Thức ăn cho mèo con WHISKAS được chế biến một cách chuyên nghiệp để cung cấp một bữa ăn toàn diện và cân bằng 1...
