product_name,price,manufacture_date,entry_date,expiry_date,stock,type,imgList,species,dosage_use,side_effect
"BIO PROGARD Chewable Tablets Kill Ticks, Fleas, Mites, Demodex Dermatitis, Sarcoptes for Dogs",95000,2024-09-08,2025-05-10,2026-11-26,63,accessory,"['https://salt.tikicdn.com/ts/product/19/f5/ef/1aca526889c0e29f926d40c74e0dcec8.jpg', 'https://salt.tikicdn.com/ts/product/bb/d3/0f/e5c0288139a9c2b3ecb685c3e0474468.jpg']",dog,Take one dose every 12 hours.,Mild drowsiness may occur during initial use.
[ GENUINE ] Megaderm Virbac box of 28 packs - Gel to help beautify the skin and smooth fur of dogs and cats,9900,2022-10-12,2025-04-16,2028-10-06,62,accessory,"['https://salt.tikicdn.com/ts/product/e8/74/a5/b893d5fa0ce46f23f3e06ca22ba079a3.png', 'https://salt.tikicdn.com/ts/product/0f/eb/bb/9cb60f4ef41a37e03d5e2fbcd8a62e5d.png', 'https://salt.tikicdn.com/ts/product/6c/6a/ca/502593b3e864382f8a1208c7ce1f8b47.png']",rabbit,Mix 5 ml with food once daily.,May cause light dizziness when used in excess.
"Dog and cat dermatitis spray bottle (Alkin, UK, 50ml)",101000,2023-11-18,2024-09-12,2026-04-19,70,accessory,"['https://salt.tikicdn.com/ts/product/83/99/4b/44199aee651c66821bf4a4326f82c1ac.jpg', 'https://salt.tikicdn.com/ts/product/c3/af/1b/8c021b4ea3f648082fb1b6235d18f081.jpg', 'https://salt.tikicdn.com/ts/product/de/8b/61/9ff30ec9fe45f03f97e30ce697c47538.jpg']",cate,Apply a thin layer to the affected area once daily.,Rare cases of mild headache have been noted.
NEXGARD COMBO - Prevents and Treats Internal and External Parasites for Cats,249000,2024-08-06,2025-02-16,2027-04-03,158,accessory,"['https://salt.tikicdn.com/ts/product/55/c6/5f/06f3c3e70f6cf8d762d9d6c8168f67d7.jpg', 'https://salt.tikicdn.com/ts/product/4b/c1/0d/d730547e6b23f618ea76efda146cdaee.jpg', 'https://salt.tikicdn.com/ts/product/75/89/c2/dc940a59d947ada8320ec2f9589b081a.jpg']",cate,Use as directed by your veterinarian.,May cause slight dryness of the skin.
"Vemedim Flucozol Oral or Topical for Dogs and Cats, Ringworm, Respiratory Fungus - 30ml Bottle",81000,2024-05-20,2024-02-19,2026-09-30,69,accessory,"['https://salt.tikicdn.com/ts/product/0c/df/73/251f16bd878aadd40f4ba2027e9b7064.jpg', 'https://salt.tikicdn.com/ts/product/43/ac/e9/5d27678165995dd6977f4440cc809aa1.jpg', 'https://salt.tikicdn.com/ts/product/66/83/6f/f6035dd3fdf5a2ac72dbae00a7427e80.jpg']",rabbit,Add one scoop to drinking water daily.,Temporary loss of appetite may occur.
Vime Deworm for Dogs and Cats Vemedim Tablets - Antihelminthic medicine for pets,45000,2024-10-09,2024-01-17,2028-04-23,179,accessory,"['https://salt.tikicdn.com/ts/product/d0/d6/80/235e9e2288c212122ed603dc4c637688.jpg', 'https://salt.tikicdn.com/ts/product/ec/92/b2/1d02b4ffd33387addbbf5a371988dc88.jpg', 'https://salt.tikicdn.com/ts/product/53/5b/dc/26d1fbc887eb41d9a475006e9985e02d.jpg']",dog,Use regularly for best results.,Mild itching at the application site.
SPREADLINE neck drops prevent ticks and fleas for Vemedim Cats,68272,2023-03-12,2024-10-18,2027-11-07,120,accessory,"['https://salt.tikicdn.com/ts/product/09/89/ff/043a2d30a7f71dc9dd6e60a944930192.png', 'https://salt.tikicdn.com/ts/product/b3/63/e6/b3007db6f24d355ff486e6dd6ecc2571.png']",cate,"Apply externally only, avoid contact with eyes.",Rare cases of mild headache have been noted.
Fronil Spot - Small tick and flea ticks for DOGS,15000,2024-05-15,2024-07-30,2026-03-16,114,accessory,"['https://salt.tikicdn.com/ts/product/c0/ff/8c/b1b24d9700aa845858ce6a7dedc8a863.png', 'https://salt.tikicdn.com/ts/product/5f/c3/bf/01f19f4aface9783fb49870cdb4bd345.png', 'https://salt.tikicdn.com/ts/product/d1/86/96/9b0e5367c139eecf1c5ad287e814adbe.png']",dog,Apply a thin layer to the affected area once daily.,May cause slight dryness of the skin.
"ETO MODEX Chewable Tablets |Kills Ticks, Fleas, and Demodex Scabies for Dogs",65000,2022-06-30,2024-12-04,2027-06-17,126,accessory,"['https://salt.tikicdn.com/ts/product/a9/e8/8d/a8aceca1edf7bd5fd41bd9433f2ffb89.jpg', 'https://salt.tikicdn.com/ts/product/28/28/4b/eabb284ad20020bd85c6cd144af5ffbd.jpg']",dog,Use as directed by your veterinarian.,Occasional nausea in sensitive individuals.
Vemedim Eto Modex chewable tablets kill ticks and fleas in dogs,68000,2024-03-01,2025-12-01,2028-03-18,59,accessory,"['https://salt.tikicdn.com/ts/product/ed/a5/18/1416f3482c74470292df52fbde7f286d.png', 'https://salt.tikicdn.com/ts/product/03/ee/ef/fd0005105b16f39f002de4f1bbf00113.jpg', 'https://salt.tikicdn.com/ts/product/fe/c3/14/345479aa62ba8302a5dfe2fbbff40e06.jpg']",bird,Use as directed by your veterinarian.,Occasional sneezing or nasal irritation.
"Five-Tox 250 - KILLS Flies, Mosquitoes, Ants, Cockroaches, Ticks, Scabies, Lice",38000,2022-01-02,2024-08-12,2027-03-22,59,accessory,"['https://salt.tikicdn.com/ts/product/50/32/e9/08c20a416d43c5fc1ccd8fc3dae55e4a.png', 'https://salt.tikicdn.com/ts/product/2b/5f/2b/06beebfb82fc898d6e3963c3f7212f3a.png', 'https://salt.tikicdn.com/ts/product/7c/37/11/536046d4e7b9f12443d7ceceeb42b43e.png']",rabbit,Take 30 minutes before meals.,Temporary stomach discomfort has been reported.
"FIVE-PENSTREP.LA - supports the treatment of ARTHRITIS, DERMATITIS, PNEUMONIA, STREPTROCOCACTIC, STAMPS, HEMORRHAGIA",60000,2024-04-28,2025-02-01,2027-12-06,129,accessory,"['https://salt.tikicdn.com/ts/product/58/ea/07/91dc3a6f7926ec98a70b0fb44a31e86f.png', 'https://salt.tikicdn.com/ts/product/2b/5f/2b/29136f50cd4394afb324f2283a0f1425.png', 'https://salt.tikicdn.com/ts/product/7c/37/11/c60b0ed55688c08dc62d57119e541e5e.png']",cate,Use regularly for best results.,Slight redness or irritation may appear.
[Box of 60 tablets] Vet Expert Supplement for dogs and cats to help support kidney problems Renal Vet,720000,2022-11-22,2024-12-24,2028-04-07,149,accessory,"['https://salt.tikicdn.com/ts/product/62/4a/11/71f63f54541c5cdbcb9c79f18bf16ccd.jpg', 'https://salt.tikicdn.com/ts/product/f0/6a/26/50fb3ec7764b62a351d2cc3ced3ae45e.jpg', 'https://salt.tikicdn.com/ts/product/e6/7f/5e/b1043cc9ca55edd17440f58632241475.jpg']",cate,"Apply externally only, avoid contact with eyes.",Temporary fatigue during early use.
"Vemedim ETO Modex oral tablet to kill ticks, lice, fleas, dermatitis caused by Demodex, Sarcoptes for dogs",92000,2022-08-10,2025-08-23,2027-02-27,155,accessory,"['https://salt.tikicdn.com/ts/product/33/93/d3/5051002a5d2cce771bafded2641fc005.png', 'https://salt.tikicdn.com/ts/product/a2/13/48/1b6c6723d7520a3e61cd10b62dce635d.png', 'https://salt.tikicdn.com/ts/product/da/81/71/0b2a3d652106be70d8d2191ad4c9ad1c.png']",dog,Use up to 3 times daily if needed.,Rare cases of mild headache have been noted.
Fungikur Good Anti-Fungal Spray for Dogs and Cats 50ml,155000,2022-07-09,2024-07-22,2028-09-21,80,accessory,"['https://salt.tikicdn.com/ts/product/90/bc/cf/876eb739d7851123df8150f1dc79347d.png', 'https://salt.tikicdn.com/ts/product/6b/2a/fb/f8cc1d2bee3d2fa44957afaf3f1d45d1.jpg', 'https://salt.tikicdn.com/ts/product/9f/82/f3/5e4a6c5e04c0861ed28f0f89a6bfb7a7.jpg']",cate,Take 30 minutes before meals.,Minor skin peeling after prolonged use.
